Young False Negative Rate Before,Old False Negative Rate Before,Young False Negative Rate After,Old False Negative Rate After,Equalized Odds Ratio Age Before,Equalized Odds Ratio Age After,Equalized Odds Difference Age Before,Equalized Odds Difference Age After
0.3577981651376147,0.6240601503759399,0.009174311926605505,0.022556390977443608,0.1228813559322034,0.9729163026384763,0.2662619852383252,0.015098383011883931
0.3440366972477064,0.6165413533834586,0.0,0.0,0.0,0.9931853922767778,0.2725046561357522,0.003798947983635337
0.03211009174311927,0.42857142857142855,0.43577981651376146,0.41353383458646614,0.04274134119380987,0.9620677487649965,0.3964613368283093,0.022245981927295322
0.3577981651376147,0.6240601503759399,0.04128440366972477,0.022556390977443608,0.1228813559322034,0.9748563218390806,0.2662619852383252,0.018728012692281082
0.0779816513761468,0.48872180451127817,0.5229357798165137,0.47368421052631576,0.0327683615819209,0.655367231638418,0.41074015313513146,0.049251569290197916
0.20642201834862386,0.5263157894736842,0.5045871559633027,0.5037593984962406,0.0614406779661017,0.5086206896551724,0.3198937711250604,0.005552308591466978
0.2018348623853211,0.5338345864661654,0.5458715596330275,0.5112781954887218,0.0614406779661017,0.9292166549047284,0.3319997240808443,0.034593364144305694
0.3577981651376147,0.6240601503759399,0.013761467889908258,0.022556390977443608,0.1228813559322034,0.9748563218390806,0.2662619852383252,0.013637249172024135
0.022935779816513763,0.43609022556390975,0.3853211009174312,0.41353383458646614,0.04274134119380987,0.655367231638418,0.413154445747396,0.028212733669034984
0.20642201834862386,0.5263157894736842,0.47706422018348627,0.5112781954887218,0.0614406779661017,0.655367231638418,0.3198937711250604,0.03421397530523557
0.21100917431192662,0.518796992481203,0.5045871559633027,0.5112781954887218,0.0614406779661017,0.655367231638418,0.3077878181692765,0.006691039525419107
0.20642201834862386,0.5263157894736842,0.5275229357798165,0.5112781954887218,0.0614406779661017,0.5086206896551724,0.3198937711250604,0.016244740291094684
0.3532110091743119,0.631578947368421,0.03211009174311927,0.022556390977443608,0.1228813559322034,0.953261427837699,0.27836793819410915,0.026592635885447136
0.027522935779816515,0.43609022556390975,0.41284403669724773,0.41353383458646614,0.04274134119380987,0.5086206896551724,0.4085672897840933,0.005552308591466978
0.3532110091743119,0.631578947368421,0.03669724770642202,0.022556390977443608,0.1228813559322034,0.9855328158080452,0.27836793819410915,0.014140856728978357
0.3577981651376147,0.6240601503759399,0.04128440366972477,0.022556390977443608,0.1228813559322034,0.9808398023994355,0.2662619852383252,0.018728012692281082
0.3532110091743119,0.631578947368421,0.013761467889908258,0.022556390977443608,0.1228813559322034,0.9748563218390806,0.27836793819410915,0.013637249172024135
0.3532110091743119,0.631578947368421,0.027522935779816515,0.022556390977443608,0.1228813559322034,0.9830508474576272,0.27836793819410915,0.009351256575102274
0.03211009174311927,0.42857142857142855,0.38990825688073394,0.41353383458646614,0.04274134119380987,0.4915254237288136,0.3964613368283093,0.02362557770573226
0.3486238532110092,0.6390977443609023,0.01834862385321101,0.022556390977443608,0.1228813559322034,0.9830508474576272,0.2904738911498931,0.009351256575102274
0.3532110091743119,0.631578947368421,0.022935779816513763,0.022556390977443608,0.1228813559322034,0.9642600574712643,0.27836793819410915,0.019384375608805793
0.03669724770642202,0.49624060150375937,0.5045871559633027,0.47368421052631576,0.025869759143621766,0.9412844036697249,0.45954335379733735,0.030902945436986906
0.3486238532110092,0.6390977443609023,0.0045871559633027525,0.022556390977443608,0.1228813559322034,0.9748563218390806,0.2904738911498931,0.01796923501414094
0.3532110091743119,0.631578947368421,0.01834862385321101,0.022556390977443608,0.1228813559322034,0.9642600574712643,0.27836793819410915,0.019384375608805793
0.3532110091743119,0.631578947368421,0.022935779816513763,0.022556390977443608,0.1228813559322034,0.9642600574712643,0.27836793819410915,0.019384375608805793
0.3532110091743119,0.631578947368421,0.01834862385321101,0.03007518796992481,0.1228813559322034,0.9880542477689551,0.27836793819410915,0.0117265641167138
0.3532110091743119,0.631578947368421,0.01834862385321101,0.022556390977443608,0.1228813559322034,0.9748563218390806,0.27836793819410915,0.013637249172024135
0.3486238532110092,0.631578947368421,0.0,0.0,0.14043583535108958,0.985780305723427,0.2829550941574119,0.0077927138125851725
0.2018348623853211,0.5338345864661654,0.536697247706422,0.5112781954887218,0.0614406779661017,0.9479887085391673,0.3319997240808443,0.02541905221770019
0.3486238532110092,0.6390977443609023,0.027522935779816515,0.022556390977443608,0.1228813559322034,0.9854525862068965,0.2904738911498931,0.007890122735242588
