Female Selection Rate Before,Male Selection Rate Before,Female Selection Rate After,Male Selection Rate After,Demographic Parity Ratio Gender Before,Demographic Parity Ratio Gender After,Demographic Parity Difference Gender Before,Demographic Parity Difference Gender After
0.3423076923076923,0.248868778280543,0.3576923076923077,0.3552036199095023,0.7270323859881032,0.9930423782416192,0.09343891402714932,0.002488687782805421
0.3384615384615385,0.251131221719457,0.34615384615384615,0.33031674208144796,0.7419786096256684,0.954248366013072,0.08733031674208147,0.01583710407239819
0.4269230769230769,0.3212669683257919,0.4346153846153846,0.43665158371040724,0.7525172231054585,0.9953367875647668,0.10565610859728503,0.002036199095022617
0.5038461538461538,0.40271493212669685,0.4307692307692308,0.41855203619909503,0.7992815446789403,0.9716386554621849,0.10113122171945699,0.012217194570135759
0.34615384615384615,0.24660633484162897,0.3576923076923077,0.3597285067873303,0.7124183006535948,0.9943396226415094,0.09954751131221717,0.002036199095022617
0.49615384615384617,0.4004524886877828,0.4269230769230769,0.4321266968325792,0.8071135430916553,0.9879581151832459,0.09570135746606334,0.0052036199095022995
0.5076923076923077,0.40497737556561086,0.4153846153846154,0.4095022624434389,0.7976827094474154,0.9858387799564269,0.1027149321266968,0.005882352941176505
0.5153846153846153,0.39819004524886875,0.41923076923076924,0.41855203619909503,0.7726075504828798,0.9983810037776578,0.11719457013574658,0.0006787330316742057
0.49615384615384617,0.4004524886877828,0.4076923076923077,0.416289592760181,0.8071135430916553,0.9793478260869565,0.09570135746606334,0.008597285067873328
0.3423076923076923,0.248868778280543,0.35384615384615387,0.34615384615384615,0.7270323859881032,0.9782608695652173,0.09343891402714932,0.0076923076923077205
0.35,0.24434389140271492,0.35384615384615387,0.36425339366515835,0.698125404007757,0.9714285714285715,0.10565610859728505,0.010407239819004488
0.41923076923076924,0.3257918552036199,0.4269230769230769,0.4253393665158371,0.7771181867242309,0.9962904080551139,0.09343891402714932,0.0015837104072398134
0.3423076923076923,0.248868778280543,0.3576923076923077,0.38235294117647056,0.7270323859881032,0.9355029585798817,0.09343891402714932,0.024660633484162864
0.5153846153846153,0.4117647058823529,0.4269230769230769,0.41855203619909503,0.7989464442493416,0.9803921568627452,0.10361990950226241,0.00837104072398187
0.3423076923076923,0.248868778280543,0.35,0.34841628959276016,0.7270323859881032,0.995475113122172,0.09343891402714932,0.0015837104072398134
0.41923076923076924,0.3257918552036199,0.36153846153846153,0.3597285067873303,0.7771181867242309,0.9949937421777222,0.09343891402714932,0.0018099547511312153
0.5076923076923077,0.40271493212669685,0.4230769230769231,0.4298642533936652,0.7932263814616757,0.9842105263157894,0.10497737556561082,0.006787330316742113
0.35,0.24434389140271492,0.3576923076923077,0.3393665158371041,0.698125404007757,0.9487666034155599,0.10565610859728505,0.01832579185520361
0.3384615384615385,0.251131221719457,0.35384615384615387,0.3552036199095023,0.7419786096256684,0.9961783439490446,0.08733031674208147,0.0013574660633484115
0.4153846153846154,0.32805429864253394,0.4346153846153846,0.4502262443438914,0.789760348583878,0.9653266331658291,0.08733031674208147,0.015610859728506787
0.4307692307692308,0.3190045248868778,0.4307692307692308,0.4253393665158371,0.7405462184873949,0.9873949579831932,0.11176470588235299,0.005429864253393701
0.5192307692307693,0.39819004524886875,0.41923076923076924,0.41855203619909503,0.7668845315904138,0.9983810037776578,0.12104072398190052,0.0006787330316742057
0.35,0.24434389140271492,0.35384615384615387,0.34615384615384615,0.698125404007757,0.9782608695652173,0.10565610859728505,0.0076923076923077205
0.4307692307692308,0.3190045248868778,0.38461538461538464,0.3755656108597285,0.7405462184873949,0.9764705882352941,0.11176470588235299,0.009049773755656132
0.35,0.248868778280543,0.35,0.3552036199095023,0.7110536522301228,0.9853503184713375,0.10113122171945699,0.0052036199095022995
0.34615384615384615,0.24660633484162897,0.3576923076923077,0.3574660633484163,0.7124183006535948,0.9993674889310563,0.09954751131221717,0.0002262443438914019
0.3423076923076923,0.248868778280543,0.35384615384615387,0.3665158371040724,0.7270323859881032,0.9654320987654322,0.09343891402714932,0.012669683257918507
0.5038461538461538,0.40271493212669685,0.4076923076923077,0.4095022624434389,0.7992815446789403,0.9955801104972376,0.10113122171945699,0.0018099547511312153
0.5,0.4072398190045249,0.4153846153846154,0.4095022624434389,0.8144796380090498,0.9858387799564269,0.09276018099547512,0.005882352941176505
0.35,0.24434389140271492,0.35384615384615387,0.34615384615384615,0.698125404007757,0.9782608695652173,0.10565610859728505,0.0076923076923077205
