Female False Negative Rate Before,Male False Negative Rate Before,Female False Negative Rate After,Male False Negative Rate After,Equalized Odds Ratio Gender Before,Equalized Odds Ratio Gender After,Equalized Odds Difference Gender Before,Equalized Odds Difference Gender After
0.41216216216216217,0.49261083743842365,0.20945945945945946,0.2561576354679803,0.8631447822886588,0.9409288029977685,0.08044867527626143,0.046698176008520886
0.3918918918918919,0.4876847290640394,0.2702702702702703,0.2315270935960591,0.3556547619047619,0.8786610878661087,0.09579283717214748,0.03874317667421112
0.19594594594594594,0.1724137931034483,0.16891891891891891,0.17733990147783252,0.5538227462913656,0.8383290816326531,0.043820980274955165,0.01894052600119546
0.4189189189189189,0.4876847290640394,0.2702702702702703,0.2512315270935961,0.8816588383549091,0.803347280334728,0.0687658101451204,0.0614539748953975
0.25,0.22167487684729065,0.25675675675675674,0.2955665024630542,0.5690376569037657,0.803347280334728,0.053870292887029284,0.03880974570629736
0.2972972972972973,0.3497536945812808,0.3783783783783784,0.3448275862068966,0.5271966527196653,0.5271966527196653,0.05245639728398355,0.03377166766288105
0.30405405405405406,0.3448275862068966,0.34459459459459457,0.33497536945812806,0.6694560669456067,0.7113095238095237,0.04077353215284252,0.010871189479976093
0.4189189189189189,0.4876847290640394,0.22972972972972974,0.2561576354679803,0.8816588383549091,0.9656900872871834,0.0687658101451204,0.0264279057382506
0.16891891891891891,0.18719211822660098,0.22297297297297297,0.21674876847290642,0.5538227462913656,0.9372384937238494,0.043820980274955165,0.006224204500066666
0.32432432432432434,0.33004926108374383,0.32432432432432434,0.3399014778325123,0.5271966527196653,0.8435146443514644,0.03377166766288105,0.015577153508188002
0.31756756756756754,0.33497536945812806,0.3581081081081081,0.3399014778325123,0.5271966527196653,0.9484126984126984,0.03377166766288105,0.01820663027559577
0.31756756756756754,0.33497536945812806,0.32432432432432434,0.3399014778325123,0.5271966527196653,0.8435146443514644,0.03377166766288105,0.015577153508188002
0.39864864864864863,0.5024630541871922,0.22297297297297297,0.2561576354679803,0.827364808767366,0.9372384937238494,0.10381440553854343,0.03318466249500729
0.17567567567567569,0.18719211822660098,0.16891891891891891,0.15270935960591134,0.4686192468619247,0.9808689503456945,0.056933652121936636,0.016209559313007604
0.40540540540540543,0.4975369458128079,0.28378378378378377,0.2561576354679803,0.8450515002239141,0.8891369047619049,0.09213154040740246,0.027831739390316773
0.4189189189189189,0.4876847290640394,0.2972972972972973,0.2512315270935961,0.8816588383549091,0.9384779516358465,0.0687658101451204,0.04606577020370117
0.39864864864864863,0.5024630541871922,0.25675675675675674,0.2512315270935961,0.827364808767366,0.9070049939263057,0.10381440553854343,0.025739689181111802
0.42567567567567566,0.4827586206896552,0.27702702702702703,0.2512315270935961,0.9006085192697769,0.9602678571428572,0.05708294501397948,0.025795499933430888
0.16216216216216217,0.19704433497536947,0.24324324324324326,0.24630541871921183,0.4686192468619247,0.8535714285714285,0.056933652121936636,0.003063359234907352
0.40540540540540543,0.4975369458128079,0.18243243243243243,0.2512315270935961,0.8450515002239141,0.9158490412408907,0.09213154040740246,0.06879909466116363
0.4189189189189189,0.4876847290640394,0.1891891891891892,0.2512315270935961,0.8816588383549091,0.8180059523809524,0.0687658101451204,0.06204233790440694
0.20945945945945946,0.21182266009852216,0.23648648648648649,0.22167487684729065,0.6736401673640168,0.6816279954355268,0.046622833233711886,0.03126867901972505
0.40540540540540543,0.4975369458128079,0.28378378378378377,0.2561576354679803,0.8450515002239141,0.7599231030193373,0.09213154040740246,0.07931111775254035
0.42567567567567566,0.4827586206896552,0.2905405405405405,0.2561576354679803,0.9006085192697769,0.9372384937238494,0.05708294501397948,0.034382905072560255
0.4189189189189189,0.4876847290640394,0.2635135135135135,0.2561576354679803,0.8816588383549091,0.9372384937238494,0.0687658101451204,0.01681111775254035
0.42567567567567566,0.4827586206896552,0.2702702702702703,0.2561576354679803,0.9006085192697769,0.7824404761904762,0.05708294501397948,0.054617453676031075
0.4189189189189189,0.4876847290640394,0.20945945945945946,0.2561576354679803,0.8816588383549091,0.9409288029977685,0.0687658101451204,0.046698176008520886
0.40540540540540543,0.49261083743842365,0.23648648648648649,0.2315270935960591,0.7113095238095238,0.9669363839285716,0.08720543203301823,0.008853855349671202
0.3108108108108108,0.3399014778325123,0.3108108108108108,0.3054187192118227,0.6694560669456067,0.7029288702928871,0.02909066702170149,0.021219366407650923
0.41216216216216217,0.49261083743842365,0.2702702702702703,0.2561576354679803,0.8631447822886588,0.924702380952381,0.08044867527626143,0.01890316796174535
