Young Selection Rate Before,Old Selection Rate Before,Young Selection Rate After,Old Selection Rate After,Demographic Parity Ratio Age Before,Demographic Parity Ratio Age After,Demographic Parity Difference Age Before,Demographic Parity Difference Age After
0.37755102040816324,0.16451612903225807,0.3826530612244898,0.3774193548387097,0.4357454228421971,0.9863225806451614,0.21303489137590517,0.005233706385780079
0.38010204081632654,0.16129032258064516,0.3826530612244898,0.3903225806451613,0.4243342714873349,0.9803508180131556,0.21881171823568138,0.007669519420671511
0.4846938775510204,0.2032258064516129,0.48214285714285715,0.47419354838709676,0.4192869269949066,0.9835125448028673,0.2814680710994075,0.007949308755760387
0.6122448979591837,0.22258064516129034,0.46683673469387754,0.5,0.36354838709677423,0.9336734693877551,0.38966425279789335,0.03316326530612246
0.3826530612244898,0.15806451612903225,0.3826530612244898,0.36129032258064514,0.4130752688172043,0.9441720430107526,0.22458854509545753,0.021362738643844636
0.5841836734693877,0.24838709677419354,0.4719387755102041,0.4935483870967742,0.4251866460064798,0.9562158196611978,0.33579657669519414,0.0216096115865701
0.5969387755102041,0.24838709677419354,0.4744897959183674,0.5064516129032258,0.41610146126275155,0.9368906798388146,0.34855167873601056,0.03196181698485845
0.5969387755102041,0.24516129032258063,0.46938775510204084,0.44193548387096776,0.4106975461814171,0.9415147265077138,0.35177748518762353,0.027452271231073078
0.6020408163265306,0.22580645161290322,0.45918367346938777,0.45483870967741935,0.37506834335702566,0.9905376344086021,0.37623436471362737,0.004344963791968415
0.37755102040816324,0.16451612903225807,0.38010204081632654,0.3870967741935484,0.4357454228421971,0.9819302721088435,0.21303489137590517,0.00699473337722184
0.38010204081632654,0.16129032258064516,0.38010204081632654,0.38387096774193546,0.4243342714873349,0.9901817870005145,0.21881171823568138,0.0037689269256089286
0.4770408163265306,0.2129032258064516,0.47959183673469385,0.535483870967742,0.4462998102466793,0.8956233095647896,0.264137590520079,0.055892034233048116
0.38010204081632654,0.16129032258064516,0.38010204081632654,0.4161290322580645,0.4243342714873349,0.9134235089384591,0.21881171823568138,0.03602699144173799
0.6301020408163265,0.22258064516129034,0.42346938775510207,0.4290322580645161,0.3532453963693353,0.9870339113088845,0.40752139565503614,0.0055628703094140475
0.38010204081632654,0.16129032258064516,0.38010204081632654,0.3709677419354839,0.4243342714873349,0.9759688244208703,0.21881171823568138,0.009134298880842662
0.48214285714285715,0.2064516129032258,0.48214285714285715,0.49032258064516127,0.42819593787335725,0.9833176691729324,0.2756912442396313,0.008179723502304115
0.5943877551020408,0.24838709677419354,0.4719387755102041,0.4870967741935484,0.4178873044441368,0.9688809298553858,0.3460006583278472,0.015157998683344331
0.38010204081632654,0.16129032258064516,0.38010204081632654,0.3935483870967742,0.4243342714873349,0.9658330545332887,0.21881171823568138,0.013446346280447663
0.38010204081632654,0.16129032258064516,0.38010204081632654,0.35161290322580646,0.4243342714873349,0.9250487118423901,0.21881171823568138,0.028489137590520075
0.48214285714285715,0.2064516129032258,0.4846938775510204,0.4935483870967742,0.42819593787335725,0.9820594904628518,0.2756912442396313,0.008854509545753786
0.48214285714285715,0.2064516129032258,0.48214285714285715,0.4774193548387097,0.42819593787335725,0.9902031063321386,0.2756912442396313,0.0047235023041474755
0.5969387755102041,0.24838709677419354,0.4642857142857143,0.45806451612903226,0.41610146126275155,0.9866004962779156,0.34855167873601056,0.00622119815668204
0.38010204081632654,0.16129032258064516,0.3826530612244898,0.3935483870967742,0.4243342714873349,0.9723151555704248,0.21881171823568138,0.010895325872284423
0.48214285714285715,0.2064516129032258,0.48214285714285715,0.5,0.42819593787335725,0.9642857142857143,0.2756912442396313,0.01785714285714285
0.3826530612244898,0.16451612903225807,0.3877551020408163,0.3709677419354839,0.42993548387096775,0.9567062818336164,0.2181369321922317,0.01678736010533244
0.37755102040816324,0.16451612903225807,0.3826530612244898,0.3741935483870968,0.4357454228421971,0.9778924731182796,0.21303489137590517,0.00845951283739299
0.38010204081632654,0.16129032258064516,0.37755102040816324,0.38387096774193546,0.4243342714873349,0.9835362716515177,0.21881171823568138,0.0063199473337722245
0.6147959183673469,0.21935483870967742,0.46938775510204084,0.43548387096774194,0.35679293267300227,0.9277699859747546,0.3954410796576695,0.0339038841342989
0.5943877551020408,0.24838709677419354,0.46683673469387754,0.5,0.4178873044441368,0.9336734693877551,0.3460006583278472,0.03316326530612246
0.38010204081632654,0.16129032258064516,0.37755102040816324,0.3774193548387097,0.4243342714873349,0.9996512641673934,0.21881171823568138,0.0001316655694535429
