Young Accuracy Before,Old Accuracy Before,Young Accuracy After,Old Accuracy After,Young Selection Rate Before,Old Selection Rate Before,Young Selection Rate After,Old Selection Rate After,Young False Negative Rate Before,Old False Negative Rate Before,Young False Negative Rate After,Old False Negative Rate After,Young False Positive Rate Before,Old False Positive Rate Before,Young False Positive Rate After,Old False Positive Rate After,Young True Negative Rate Before,Old True Negative Rate Before,Young True Negative Rate After,Old True Negative Rate After,Young True Positive Rate Before,Old True Positive Rate Before,Young True Positive Rate After,Old True Positive Rate After,Demographic Parity Ratio Age Before,Demographic Parity Ratio Age After
0.8935483870967742,0.8928571428571429,0.8935483870967742,0.8928571428571429,0.41935483870967744,0.5561224489795918,0.4935483870967742,0.5561224489795918,0.13533834586466165,0.0963302752293578,0.05263157894736842,0.1651376146788991,0.0847457627118644,0.1206896551724138,0.15254237288135594,0.06321839080459771,0.9152542372881356,0.9036697247706422,0.847457627118644,0.8348623853211009,0.8646616541353384,0.9036697247706422,0.9473684210526315,0.8348623853211009,0.7540692512577686,0.9975656929438442
0.9161290322580645,0.9158163265306123,0.9161290322580645,0.9158163265306123,0.38387096774193546,0.5280612244897959,0.4967741935483871,0.5280612244897959,0.15037593984962405,0.10091743119266056,0.03759398496240601,0.14220183486238533,0.03389830508474576,0.06321839080459771,0.14689265536723164,0.034482758620689655,0.9661016949152542,0.8990825688073395,0.8531073446327684,0.8577981651376146,0.849624060150376,0.8990825688073395,0.9624060150375939,0.8577981651376146,0.7269440548542934,0.9910879936390141
0.8903225806451613,0.8954081632653061,0.8903225806451613,0.8954081632653061,0.4161290322580645,0.5586734693877551,0.4935483870967742,0.5586734693877551,0.14285714285714285,0.09174311926605505,0.05263157894736842,0.16055045871559634,0.0847457627118644,0.1206896551724138,0.15254237288135594,0.05747126436781609,0.9152542372881356,0.908256880733945,0.847457627118644,0.8394495412844036,0.8571428571428571,0.908256880733945,0.9473684210526315,0.8394495412844036,0.7448519664162616,0.9975656929438442
0.8612903225806452,0.8826530612244898,0.8612903225806452,0.8826530612244898,0.3935483870967742,0.5561224489795918,0.4967741935483871,0.5561224489795918,0.20300751879699247,0.10550458715596331,0.07518796992481203,0.1651376146788991,0.0903954802259887,0.13218390804597702,0.1751412429378531,0.07471264367816093,0.9096045197740112,0.8944954128440367,0.8248587570621468,0.8348623853211009,0.7969924812030075,0.8944954128440367,0.924812030075188,0.8348623853211009,0.7076649896419059,0.9986435070306038
0.8870967741935484,0.8928571428571429,0.8870967741935484,0.8928571428571429,0.41935483870967744,0.5561224489795918,0.4935483870967742,0.5561224489795918,0.14285714285714285,0.0963302752293578,0.06015037593984962,0.1651376146788991,0.0903954802259887,0.1206896551724138,0.15819209039548024,0.05172413793103448,0.9096045197740112,0.9036697247706422,0.8418079096045198,0.8348623853211009,0.8571428571428571,0.9036697247706422,0.9398496240601504,0.8348623853211009,0.7540692512577686,0.9872282246231827
0.8838709677419355,0.8954081632653061,0.8838709677419355,0.8954081632653061,0.4161290322580645,0.5586734693877551,0.4935483870967742,0.5586734693877551,0.15037593984962405,0.09174311926605505,0.05263157894736842,0.1559633027522936,0.0903954802259887,0.1206896551724138,0.15254237288135594,0.05172413793103448,0.9096045197740112,0.908256880733945,0.847457627118644,0.8440366972477065,0.849624060150376,0.908256880733945,0.9473684210526315,0.8440366972477065,0.7448519664162616,0.9975656929438442
0.8903225806451613,0.8954081632653061,0.8903225806451613,0.8954081632653061,0.4161290322580645,0.5586734693877551,0.4935483870967742,0.5586734693877551,0.14285714285714285,0.09174311926605505,0.06015037593984962,0.1559633027522936,0.0847457627118644,0.1206896551724138,0.15819209039548024,0.05172413793103448,0.9152542372881356,0.908256880733945,0.8418079096045198,0.8440366972477065,0.8571428571428571,0.908256880733945,0.9398496240601504,0.8440366972477065,0.7448519664162616,0.9975656929438442
0.9193548387096774,0.9132653061224489,0.9193548387096774,0.9132653061224489,0.3935483870967742,0.5255102040816326,0.5032258064516129,0.5255102040816326,0.13533834586466165,0.10550458715596331,0.045112781954887216,0.13761467889908258,0.03954802259887006,0.06321839080459771,0.1638418079096045,0.034482758620689655,0.96045197740113,0.8944954128440367,0.8361581920903954,0.8623853211009175,0.8646616541353384,0.8944954128440367,0.9548872180451128,0.8623853211009175,0.7488881929220169,0.9834510727367871
0.8612903225806452,0.8826530612244898,0.8612903225806452,0.8826530612244898,0.3935483870967742,0.5561224489795918,0.4967741935483871,0.5561224489795918,0.20300751879699247,0.10550458715596331,0.08270676691729323,0.16972477064220184,0.0903954802259887,0.13218390804597702,0.1807909604519774,0.07471264367816093,0.9096045197740112,0.8944954128440367,0.8192090395480226,0.8302752293577982,0.7969924812030075,0.8944954128440367,0.9172932330827067,0.8302752293577982,0.7076649896419059,0.9962231645905115
0.8903225806451613,0.8954081632653061,0.8903225806451613,0.8954081632653061,0.4161290322580645,0.5586734693877551,0.4935483870967742,0.5586734693877551,0.14285714285714285,0.09174311926605505,0.05263157894736842,0.16055045871559634,0.0847457627118644,0.1206896551724138,0.15254237288135594,0.05172413793103448,0.9152542372881356,0.908256880733945,0.847457627118644,0.8394495412844036,0.8571428571428571,0.908256880733945,0.9473684210526315,0.8394495412844036,0.7448519664162616,0.9923969587835134
0.8516129032258064,0.8520408163265306,0.8516129032258064,0.8520408163265306,0.4290322580645161,0.5459183673469388,0.5,0.5459183673469388,0.17293233082706766,0.14220183486238533,0.09774436090225563,0.18807339449541285,0.12994350282485875,0.15517241379310345,0.1977401129943503,0.11494252873563218,0.8700564971751412,0.8577981651376146,0.8022598870056498,0.8119266055045872,0.8270676691729323,0.8577981651376146,0.9022556390977443,0.8119266055045872,0.7858908652396743,0.9949238578680204
