Female False Negative Rate Before,Male False Negative Rate Before,Female False Negative Rate After,Male False Negative Rate After,Equalized Odds Ratio Gender Before,Equalized Odds Ratio Gender After,Equalized Odds Difference Gender Before,Equalized Odds Difference Gender After
0.45185185185185184,0.5822784810126582,0.5777777777777777,0.5569620253164557,0.6211562115621156,0.8943894389438944,0.13042662916080638,0.020815752461322057
0.25925925925925924,0.34177215189873417,0.34814814814814815,0.33755274261603374,0.7453874538745388,0.974737439682089,0.08251289263947492,0.010595405532114355
0.26666666666666666,0.3459915611814346,0.3037037037037037,0.33755274261603374,0.6522140221402214,0.869618696186962,0.07932489451476787,0.03384903891233004
0.25925925925925924,0.33755274261603374,0.31851851851851853,0.3206751054852321,0.7686808118081181,0.9966053748231967,0.07829348335677444,0.002156586966713503
0.45185185185185184,0.5822784810126582,0.5481481481481482,0.5569620253164557,0.6211562115621156,0.8943894389438944,0.13042662916080638,0.00881387716830756
0.25925925925925924,0.34177215189873417,0.31851851851851853,0.3333333333333333,0.6988007380073801,0.8784923563521349,0.08251289263947492,0.016842643673961502
0.2962962962962963,0.41350210970464135,0.4,0.4050632911392405,0.6832718327183273,0.8130813081308131,0.11720581340834502,0.02276131672207811
0.25925925925925924,0.3333333333333333,0.2962962962962963,0.32489451476793246,0.7453874538745388,0.8432814710042433,0.07407407407407407,0.02859821847163624
0.25925925925925924,0.33755274261603374,0.3333333333333333,0.34177215189873417,0.7453874538745388,0.9223391089108911,0.07829348335677444,0.009170289722699204
0.25925925925925924,0.34177215189873417,0.32592592592592595,0.3291139240506329,0.7453874538745388,0.9952705522325777,0.08251289263947492,0.0031879981247069367
0.25925925925925924,0.33755274261603374,0.2962962962962963,0.3206751054852321,0.7220940959409594,0.8385608856088561,0.07829348335677444,0.02557451317087428
0.2814814814814815,0.33755274261603374,0.34074074074074073,0.33755274261603374,0.6755073800738007,0.8313936985523701,0.0560712611345523,0.021701801176427615
0.45185185185185184,0.5822784810126582,0.5481481481481482,0.5527426160337553,0.6211562115621156,0.8943894389438944,0.13042662916080638,0.005845603010485548
0.4444444444444444,0.5822784810126582,0.5481481481481482,0.5569620253164557,0.5324196099103847,0.8255902513328256,0.1378340365682138,0.00881387716830756
0.45185185185185184,0.5822784810126582,0.5481481481481482,0.5569620253164557,0.6211562115621156,0.7986294148655771,0.13042662916080638,0.013956377187534258
0.24444444444444444,0.3459915611814346,0.35555555555555557,0.350210970464135,0.6522140221402214,0.8624469589816124,0.10154711673699013,0.014212122319243
0.2518518518518518,0.3459915611814346,0.35555555555555557,0.33755274261603374,0.7453874538745388,0.9173999432302015,0.09413970932958271,0.018002812939521773
0.2518518518518518,0.3459915611814346,0.3333333333333333,0.33755274261603374,0.6522140221402214,0.7666195190947667,0.09413970932958271,0.024113112418252897
0.4444444444444444,0.5822784810126582,0.5407407407407407,0.5527426160337553,0.5324196099103847,0.7155115511551156,0.1378340365682138,0.01574659310949545
0.2518518518518518,0.33755274261603374,0.2962962962962963,0.3291139240506329,0.7686808118081181,0.8447724477244772,0.08570089076418186,0.03281762775433661
0.2962962962962963,0.4008438818565401,0.37777777777777777,0.4008438818565401,0.7039770397703977,0.8680838672102504,0.1045475855602438,0.023066104078762306
0.45185185185185184,0.5738396624472574,0.5037037037037037,0.5232067510548524,0.6832718327183271,0.9607028150387305,0.12198781059540553,0.019503047351148606
0.2518518518518518,0.3459915611814346,0.34074074074074073,0.350210970464135,0.6522140221402214,0.5749646393210749,0.09413970932958271,0.0439150926162727
0.25925925925925924,0.33755274261603374,0.34814814814814815,0.3206751054852321,0.7453874538745388,0.8198569856985698,0.07829348335677444,0.02747304266291606
0.25925925925925924,0.3333333333333333,0.37777777777777777,0.3333333333333333,0.7686808118081181,0.8943894389438943,0.07407407407407407,0.0444444444444444
0.25925925925925924,0.34177215189873417,0.3111111111111111,0.3333333333333333,0.7220940959409594,0.8943894389438943,0.08251289263947492,0.022222222222222254
0.2518518518518518,0.34177215189873417,0.37037037037037035,0.3206751054852321,0.7220940959409594,0.8944649446494466,0.08992030004688234,0.04969526488513831
0.2518518518518518,0.33755274261603374,0.3333333333333333,0.34177215189873417,0.7453874538745388,0.7686808118081181,0.08570089076418186,0.036644623871981294
0.45185185185185184,0.5822784810126582,0.5185185185185185,0.5569620253164557,0.6211562115621156,0.7986294148655771,0.13042662916080638,0.03844350679793718
0.45185185185185184,0.5822784810126582,0.5555555555555556,0.5569620253164557,0.6211562115621156,0.8943894389438944,0.13042662916080638,0.005845603010485548
