Young Selection Rate Before,Old Selection Rate Before,Young Selection Rate After,Old Selection Rate After,Demographic Parity Ratio Age Before,Demographic Parity Ratio Age After,Demographic Parity Difference Age Before,Demographic Parity Difference Age After
0.31316725978647686,0.7307692307692307,0.6156583629893239,0.6208791208791209,0.42854467128675783,0.9915913456996189,0.41760197098275387,0.005220757889797034
0.3113879003558719,0.6813186813186813,0.6779359430604982,0.6538461538461539,0.4570370795545861,0.9644659802140118,0.36993078096280946,0.024089789214344348
0.3113879003558719,0.6868131868131868,0.6672597864768683,0.6648351648351648,0.4533807829181495,0.9963663003663003,0.37542528645731493,0.0024246216417035393
0.31316725978647686,0.7197802197802198,0.6459074733096085,0.6318681318681318,0.4350873380239602,0.9782641600823418,0.4066129599937429,0.014039341441476672
0.2900355871886121,0.6868131868131868,0.6725978647686833,0.6703296703296703,0.4222918149466192,0.9966277109134251,0.3967775996245747,0.0022681944390130493
0.3113879003558719,0.6868131868131868,0.6654804270462633,0.6648351648351648,0.4533807829181495,0.9990303813833226,0.37542528645731493,0.0006452622110985073
0.3113879003558719,0.6978021978021978,0.6530249110320284,0.6483516483516484,0.44624092806904475,0.9928436685929876,0.3864142974463259,0.0046732626803800414
0.31316725978647686,0.7307692307692307,0.6601423487544484,0.6483516483516484,0.42854467128675783,0.9821391546458932,0.41760197098275387,0.011790700402800058
0.31316725978647686,0.7252747252747253,0.6637010676156584,0.6483516483516484,0.431791221826809,0.9768729929587838,0.4121074654882484,0.015349419264010011
0.31316725978647686,0.7142857142857143,0.6352313167259787,0.6263736263736264,0.4384341637010676,0.9860559608458768,0.40111845449923744,0.008857690352352288
0.31316725978647686,0.6978021978021978,0.6281138790035588,0.6263736263736264,0.4487908762294393,0.9972293994956883,0.3846349380157209,0.0017402526299323817
0.31316725978647686,0.7087912087912088,0.6334519572953736,0.6483516483516484,0.4418328781483627,0.9770191205742202,0.39562394900473197,0.014899691056274755
0.31316725978647686,0.7142857142857143,0.6281138790035588,0.6153846153846154,0.4384341637010676,0.9797341468729571,0.40111845449923744,0.012729263618943332
0.31316725978647686,0.7142857142857143,0.6583629893238434,0.6318681318681318,0.4384341637010676,0.9597564597564597,0.40111845449923744,0.026494857455711562
0.31316725978647686,0.6978021978021978,0.6245551601423488,0.6428571428571429,0.4487908762294393,0.9715302491103203,0.3846349380157209,0.018301982714794107
0.30604982206405695,0.6373626373626373,0.48398576512455516,0.5164835164835165,0.4801816173763653,0.9370788218369046,0.33131281529858037,0.03249775135896138
0.3113879003558719,0.6923076923076923,0.6512455516014235,0.6648351648351648,0.4497825227362594,0.9795594247228023,0.3809197919518204,0.013589613233741304
0.31316725978647686,0.7032967032967034,0.6423487544483986,0.6428571428571429,0.44528469750889677,0.9992091735863977,0.3901294435102265,0.0005083884087443424
0.13345195729537365,0.6263736263736264,0.6316725978647687,0.6263736263736264,0.2130548791908597,0.9916112056957127,0.49292166907825274,0.005298971491142335
0.31316725978647686,0.7142857142857143,0.6476868327402135,0.6318681318681318,0.4384341637010676,0.9755766211810167,0.40111845449923744,0.015818700872081704
0.31316725978647686,0.6978021978021978,0.6548042704626335,0.6373626373626373,0.4487908762294393,0.9733635929288103,0.3846349380157209,0.017441633099996134
0.3113879003558719,0.6813186813186813,0.6405693950177936,0.6538461538461539,0.4570370795545861,0.9796943688507432,0.36993078096280946,0.013276758828360213
0.31316725978647686,0.7142857142857143,0.6298932384341637,0.6318681318681318,0.4384341637010676,0.9968745164784156,0.40111845449923744,0.0019748934339681723
0.36298932384341637,0.7087912087912088,0.5249110320284698,0.5494505494505495,0.5121244723992385,0.9553380782918149,0.34580188494779246,0.024539517422079715
0.31316725978647686,0.6978021978021978,0.6245551601423488,0.6208791208791209,0.4487908762294393,0.9941141479603017,0.3846349380157209,0.0036760392632279038
0.31316725978647686,0.7142857142857143,0.6672597864768683,0.6483516483516484,0.4384341637010676,0.9716630036630037,0.40111845449923744,0.018908138125219964
0.2900355871886121,0.7032967032967034,0.6423487544483986,0.6538461538461539,0.4123943505338078,0.9824157420975508,0.41326111610809124,0.011497399397755292
0.31316725978647686,0.6978021978021978,0.6334519572953736,0.6098901098901099,0.4487908762294393,0.9628040498827017,0.3846349380157209,0.02356184740526368
0.3113879003558719,0.6813186813186813,0.6761565836298933,0.6483516483516484,0.4570370795545861,0.958877964141122,0.36993078096280946,0.027804935278244902
0.13345195729537365,0.6373626373626373,0.6245551601423488,0.6263736263736264,0.2093815192048104,0.9970968346132235,0.5039106800672637,0.0018184662312775712
