Female Selection Rate Before,Male Selection Rate Before,Female Selection Rate After,Male Selection Rate After,Demographic Parity Ratio Gender Before,Demographic Parity Ratio Gender After,Demographic Parity Difference Gender Before,Demographic Parity Difference Gender After
0.55,0.4457013574660634,0.5384615384615384,0.5384615384615384,0.8103661044837516,1.0,0.10429864253393667,0.0
0.5538461538461539,0.46153846153846156,0.47692307692307695,0.4683257918552036,0.8333333333333334,0.9819734345351043,0.09230769230769231,0.008597285067873328
0.5423076923076923,0.4683257918552036,0.4653846153846154,0.4638009049773756,0.8635794743429287,0.9965969859017988,0.07398190045248865,0.0015837104072398134
0.55,0.4457013574660634,0.49230769230769234,0.48868778280542985,0.8103661044837516,0.9926470588235293,0.10429864253393667,0.003619909502262486
0.5461538461538461,0.4660633484162896,0.47692307692307695,0.47737556561085975,0.8533554266777135,0.9990521327014218,0.0800904977375565,0.0004524886877828038
0.5423076923076923,0.4683257918552036,0.47307692307692306,0.47285067873303166,0.8635794743429287,0.9995217599234816,0.07398190045248865,0.0002262443438914019
0.5461538461538461,0.4660633484162896,0.5423076923076923,0.5429864253393665,0.8533554266777135,0.99875,0.0800904977375565,0.0006787330316742057
0.5461538461538461,0.4638009049773756,0.4846153846153846,0.497737556561086,0.8492129246064625,0.9736363636363636,0.08235294117647052,0.013122171945701366
0.5423076923076923,0.4683257918552036,0.5461538461538461,0.5429864253393665,0.8635794743429287,0.9942004971002486,0.07398190045248865,0.0031674208144796268
0.5576923076923077,0.4592760180995475,0.49230769230769234,0.49095022624434387,0.8235294117647058,0.9972426470588234,0.09841628959276022,0.001357466063348467
0.5423076923076923,0.4660633484162896,0.5,0.49321266968325794,0.8594075928243639,0.9864253393665159,0.07624434389140267,0.006787330316742057
0.5115384615384615,0.43891402714932126,0.4807692307692308,0.4796380090497738,0.8580274214949138,0.9976470588235294,0.07262443438914024,0.0011312217194570096
0.5461538461538461,0.4660633484162896,0.47307692307692306,0.4638009049773756,0.8533554266777135,0.9803921568627452,0.0800904977375565,0.009276018099547478
0.5576923076923077,0.4592760180995475,0.4653846153846154,0.4683257918552036,0.8235294117647058,0.9937198067632851,0.09841628959276022,0.002941176470588225
0.35,0.24434389140271492,0.3423076923076923,0.3552036199095023,0.698125404007757,0.9636942675159236,0.10565610859728505,0.012895927601809964
0.5461538461538461,0.4638009049773756,0.5,0.49321266968325794,0.8492129246064625,0.9864253393665159,0.08235294117647052,0.006787330316742057
0.5461538461538461,0.4660633484162896,0.48846153846153845,0.49321266968325794,0.8533554266777135,0.9903669724770642,0.0800904977375565,0.004751131221719496
0.55,0.4638009049773756,0.47307692307692306,0.4751131221719457,0.8432743726861374,0.9957142857142858,0.08619909502262446,0.002036199095022617
0.5576923076923077,0.4592760180995475,0.4846153846153846,0.49547511312217196,0.8235294117647058,0.9780821917808219,0.09841628959276022,0.010859728506787347
0.55,0.4638009049773756,0.47692307692307695,0.47058823529411764,0.8432743726861374,0.9867172675521821,0.08619909502262446,0.006334841628959309
0.5576923076923077,0.4592760180995475,0.5423076923076923,0.5429864253393665,0.8235294117647058,0.99875,0.09841628959276022,0.0006787330316742057
0.55,0.4638009049773756,0.5384615384615384,0.5339366515837104,0.8432743726861374,0.9915966386554622,0.08619909502262446,0.004524886877828038
0.5076923076923077,0.43891402714932126,0.4846153846153846,0.48642533936651583,0.8645276292335117,0.9962790697674418,0.0687782805429864,0.0018099547511312153
0.5538461538461539,0.46153846153846156,0.49230769230769234,0.49095022624434387,0.8333333333333334,0.9972426470588234,0.09230769230769231,0.001357466063348467
0.5153846153846153,0.43665158371040724,0.47307692307692306,0.47737556561085975,0.8472344161545216,0.9909952606635071,0.07873303167420809,0.004298642533936692
0.5269230769230769,0.4298642533936652,0.4846153846153846,0.4841628959276018,0.8158007728638901,0.9990662931839402,0.09705882352941175,0.0004524886877828038
0.5538461538461539,0.46153846153846156,0.46923076923076923,0.4660633484162896,0.8333333333333334,0.9932497589199615,0.09230769230769231,0.0031674208144796268
0.5423076923076923,0.4683257918552036,0.45384615384615384,0.4592760180995475,0.8635794743429287,0.9881773399014778,0.07398190045248865,0.005429864253393646
0.5423076923076923,0.4502262443438914,0.4807692307692308,0.47737556561085975,0.8302044221944097,0.9929411764705882,0.09208144796380086,0.0033936651583710287
0.5461538461538461,0.4660633484162896,0.47307692307692306,0.46153846153846156,0.8533554266777135,0.9756097560975611,0.0800904977375565,0.011538461538461497
