Young False Negative Rate Before,Old False Negative Rate Before,Young False Negative Rate After,Old False Negative Rate After,Equalized Odds Ratio Age Before,Equalized Odds Ratio Age After,Equalized Odds Difference Age Before,Equalized Odds Difference Age After
0.09174311926605505,0.14285714285714285,0.0779816513761468,0.06766917293233082,0.7021791767554478,0.979565772669221,0.051114023591087854,0.010312478443815887
0.09174311926605505,0.14285714285714285,0.08256880733944955,0.09022556390977443,0.7021791767554478,0.9781167108753315,0.051114023591087854,0.007656756570324941
0.0963302752293578,0.13533834586466165,0.08256880733944955,0.06015037593984962,0.7021791767554478,0.9761467889908257,0.03900807063530387,0.02241843139959987
0.0963302752293578,0.14285714285714285,0.07339449541284404,0.09022556390977443,0.7489911218724777,0.9102322661644695,0.04652686762778513,0.01683106849693039
0.09174311926605505,0.15037593984962405,0.0871559633027523,0.09022556390977443,0.7489911218724777,0.9437288135593221,0.058632820583569,0.00808494058055717
0.09174311926605505,0.14285714285714285,0.08256880733944955,0.07518796992481203,0.7021791767554478,0.9082512315270934,0.051114023591087854,0.014513929475940018
0.09174311926605505,0.15037593984962405,0.06880733944954129,0.08270676691729323,0.7489911218724777,0.983050847457627,0.058632820583569,0.013899427467751968
0.10550458715596331,0.20300751879699247,0.0963302752293578,0.09022556390977443,0.683861459100958,0.8813559322033899,0.09750293164102919,0.019774011299435013
0.14220183486238533,0.17293233082706766,0.1559633027522936,0.15037593984962405,0.837413684871312,0.9781167108753315,0.03073049596468236,0.005587362902669479
0.09174311926605505,0.14285714285714285,0.07339449541284404,0.08270676691729323,0.7021791767554478,0.9830508474576272,0.051114023591087854,0.009312271504449243
0.3486238532110092,0.6390977443609023,0.027522935779816515,0.022556390977443608,0.1228813559322034,0.9949188426252648,0.2904738911498931,0.0049665448023727965
0.09174311926605505,0.15037593984962405,0.0963302752293578,0.12030075187969924,0.7489911218724777,0.8900862068965517,0.058632820583569,0.023970476650341466
0.09174311926605505,0.14285714285714285,0.07339449541284404,0.07518796992481203,0.7021791767554478,0.976551724137931,0.051114023591087854,0.003311903370348729
0.09174311926605505,0.14285714285714285,0.0963302752293578,0.09022556390977443,0.7021791767554478,0.983050847457627,0.051114023591087854,0.006104711319583345
0.09174311926605505,0.14285714285714285,0.0779816513761468,0.08270676691729323,0.7021791767554478,0.8665389527458492,0.051114023591087854,0.020358464835378925
0.14220183486238533,0.17293233082706766,0.16055045871559634,0.14285714285714285,0.837413684871312,0.9358620689655173,0.03073049596468236,0.017693315858453462
0.09174311926605505,0.15037593984962405,0.07339449541284404,0.09022556390977443,0.7489911218724777,0.9445812807881774,0.058632820583569,0.01683106849693039
0.09174311926605505,0.14285714285714285,0.0871559633027523,0.09022556390977443,0.7021791767554478,0.9403095062638173,0.051114023591087854,0.007890122735242547
0.3623853211009174,0.6466165413533834,0.01834862385321101,0.022556390977443608,0.1228813559322034,0.9861013370865589,0.284231220252466,0.0076953048899278675
0.09174311926605505,0.5037593984962406,0.14220183486238533,0.15037593984962405,0.05538314633564096,0.9671951886276653,0.4120162792301856,0.01168907071887787
0.10550458715596331,0.13533834586466165,0.10091743119266056,0.10526315789473684,0.5362095531587057,0.983050847457627,0.02983375870869831,0.004345726702076336
0.0963302752293578,0.13533834586466165,0.0871559633027523,0.09022556390977443,0.7021791767554478,0.9710031347962382,0.03900807063530387,0.0036041301383206714
0.10550458715596331,0.14285714285714285,0.10550458715596331,0.10526315789473684,0.6255778120184899,0.983050847457627,0.03735255570117957,0.0010714981492304723
0.09174311926605505,0.15037593984962405,0.09174311926605505,0.09022556390977443,0.7489911218724777,0.9324712643678161,0.058632820583569,0.009156438729787636
0.09174311926605505,0.14285714285714285,0.0779816513761468,0.07518796992481203,0.7021791767554478,0.9830508474576272,0.051114023591087854,0.0027936814513347397
0.09174311926605505,0.14285714285714285,0.07339449541284404,0.07518796992481203,0.7021791767554478,0.9830508474576272,0.051114023591087854,0.0024352230664328733
0.09174311926605505,0.14285714285714285,0.09174311926605505,0.09022556390977443,0.7021791767554478,0.8900862068965517,0.051114023591087854,0.014903565166569252
0.14220183486238533,0.17293233082706766,0.14220183486238533,0.13533834586466165,0.837413684871312,0.9830508474576272,0.03073049596468236,0.00686348899772371
0.09174311926605505,0.16541353383458646,0.09174311926605505,0.09774436090225563,0.6085552865213882,0.983050847457627,0.0736704145685314,0.006001241636200638
0.0963302752293578,0.14285714285714285,0.09174311926605505,0.08270676691729323,0.7489911218724777,0.983050847457627,0.04652686762778513,0.009036352348761767
